"distance","choice","confidence","bias","experience","room_orientation"
"near","defendant",8,"defendant","no","jury_right"
"near","plaintiff",4,"no","no","jury_right"
"near","defendant",6,"no","no","jury_left"
"near","defendant",7,"no","no","jury_right"
"far","plaintiff",8,"prosecutor","no","jury_right"
"far","defendant",6,"defendant","no","jury_right"
"far","defendant",2,"no","no","jury_right"
"near","plaintiff",1,"no","no","jury_left"
"far","defendant",6,"defendant","no","jury_right"
"near","defendant",3,"no","no","jury_left"
"far","plaintiff",7,"prosecutor","no","jury_right"
"near","defendant",7,"prosecutor","no","jury_left"
"near","plaintiff",2,"no","no","jury_left"
"near","defendant",7,"prosecutor","no","jury_right"
"near","defendant",6,"prosecutor","no","jury_right"
"far","plaintiff",4,"no","no","jury_left"
"far","defendant",4,"no","yes","jury_left"
"near","defendant",5,"no","yes","jury_right"
"far","plaintiff",3,"no","no","jury_left"
"far","plaintiff",3,"prosecutor","no","jury_right"
"near","defendant",5,"no","no","jury_right"
"far","defendant",4,"defendant","no","jury_right"
"far","plaintiff",2,"no","yes","jury_right"
"near","plaintiff",9,"defendant","no","jury_left"
"far","plaintiff",4,"prosecutor","yes","jury_right"
"far","defendant",7,"prosecutor","no","jury_left"
"near","plaintiff",2,"defendant","no","jury_left"
"near","plaintiff",9,"no","no","jury_right"
"near","plaintiff",2,"no","yes","jury_right"
"far","defendant",2,"prosecutor","yes","jury_right"
"near","defendant",6,"defendant","yes","jury_left"
"far","plaintiff",7,"prosecutor","no","jury_right"
"far","defendant",6,"defendant","no","jury_right"
"near","defendant",4,"prosecutor","no","jury_left"
"far","plaintiff",2,"prosecutor","no","jury_left"
"near","plaintiff",5,"prosecutor","yes","jury_right"
"near","plaintiff",7,"prosecutor","no","jury_left"
"near","defendant",5,"no","no","jury_right"
"near","defendant",7,"prosecutor","no","jury_left"
"far","plaintiff",5,"prosecutor","no","jury_left"
"far","plaintiff",5,"no","no","jury_right"
"far","defendant",4,"no","no","jury_left"
"far","defendant",5,"prosecutor","no","jury_left"
"far","plaintiff",6,"prosecutor","no","jury_right"
"near","plaintiff",2,"no","no","jury_right"
"far","plaintiff",3,"no","no","jury_right"
"near","defendant",5,"no","no","jury_right"
"far","defendant",5,"no","no","jury_left"
"near","plaintiff",4,"prosecutor","no","jury_right"
"near","plaintiff",5,"prosecutor","no","jury_right"
"far","plaintiff",6,"no","no","jury_right"
